preface,foreword^prolusion^precede^premise^introduce
supposing,suppose^say^think^opine^imagine^reckon^guess^speculate^theorize^theorise^conjecture^hypothesize^hypothesise^hypothecate^presuppose
that,
truth,the_true^verity^trueness^true_statement^accuracy^Truth^Sojourner_Truth
is,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
a,angstrom^angstrom_unit^A^vitamin_A^antiophthalmic_factor^axerophthol^deoxyadenosine_monophosphate^adenine^ampere^amp^type_A^group_A
woman,adult_female^charwoman^char^cleaning_woman^cleaning_lady^womanhood^fair_sex
—,
what,
then,so^and_so^and_then
?,
there,at_that_place^in_that_location^in_that_respect^on_that_point^thither
not,non
ground,land^dry_land^earth^solid_ground^terra_firma^reason^footing^basis^background^soil^flat_coat^primer^priming^primer_coat^priming_coat^undercoat^anchor^strand^run_aground^prime^establish^base^found^crunch^cranch^craunch^grind^grate^labor^labour^toil^fag^travail^drudge^dig^moil^mash^bray^comminute
for,
suspecting,suspect^surmise^distrust^mistrust
all,wholly^entirely^completely^totally^altogether^whole
philosophers,philosopher
",",
in,inch^indium^In^atomic_number_49^Indiana^Hoosier_State^IN^inwards^inward
so,sol^soh^thus^thusly^then^and_so^and_then^therefore^hence^thence^indeed
far,Army_for_the_Liberation_of_Rwanda^ALIR^Former_Armed_Forces^FAR^Interahamwe
as,arsenic^As^atomic_number_33^American_Samoa^Eastern_Samoa^AS^angstrom^angstrom_unit^A^vitamin_A^antiophthalmic_factor^axerophthol^deoxyadenosine_monophosphate^adenine^ampere^amp^a^type_A^group_A^equally^every_bit
they,
have,rich_person^wealthy_person^have_got^hold^feature^experience^receive^get^own^possess^let^consume^ingest^take_in^take^throw^make^give^induce^stimulate^cause^accept^suffer^sustain^give_birth^deliver^bear^birth
been,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
dogmatists,dogmatist^doctrinaire
failed,fail^neglect^go_wrong^miscarry^betray^go_bad^give_way^die^give_out^conk_out^go^break^break_down^flunk^bomb^flush_it^run_out
to,
understand,realize^realise^see^read^interpret^translate^infer^sympathize^sympathise^empathize^empathise
women,woman^adult_female^charwoman^char^cleaning_woman^cleaning_lady^womanhood^fair_sex
the,
terrible,awful^dire^direful^dread^dreaded^dreadful^fearful^fearsome^frightening^horrendous^horrific^atrocious^abominable^painful^unspeakable^severe^wicked^frightful^tremendous
seriousness,earnestness^sincerity^distressfulness^serious-mindedness
and,
climisy,
importunity,urgency^urging
with,
which,
usually,normally^unremarkably^commonly^ordinarily
paid,pay^give^pay_up^ante_up^yield^bear^pay_off^make_up^compensate^devote^nonrecreational^gainful^paying
their,
addresses,address^computer_address^reference^speech^destination^name_and_address^savoir-faire^turn_to^speak^direct^call^cover^treat^handle^plow^deal^accost^come_up_to
unskilled,amateurish^amateur^inexpert^incompetent
unseemly,indecent^indecorous^unbecoming^uncomely^untoward
methods,method^method_acting
winning,win^acquire^gain^advance^pull_ahead^make_headway^get_ahead^gain_ground^succeed^come_through^bring_home_the_bacon^deliver_the_goods^victorious^fetching^taking
certainly,surely^sure^for_sure^for_certain^sure_enough^sure_as_shooting
she,
has,hour_angle^HA^have^have_got^hold^feature^experience^receive^get^own^possess^let^consume^ingest^take_in^take^throw^make^give^induce^stimulate^cause^accept^suffer^sustain^give_birth^deliver^bear^birth
never,ne'er
allowed,let^allow^permit^countenance^grant^appropriate^earmark^set_aside^reserve^leave^allow_for^provide^take_into_account^admit^give_up^tolerate
herself,
be,beryllium^Be^glucinium^atomic_number_4^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
won,South_Korean_won^North_Korean_won^win^acquire^gain^advance^pull_ahead^make_headway^get_ahead^gain_ground^succeed^come_through^bring_home_the_bacon^deliver_the_goods
;,
at,astatine^At^atomic_number_85
present,nowadays^present_tense^show^demo^exhibit^demonstrate^represent^lay_out^stage^submit^pose^award^give^gift^deliver^introduce^acquaint^portray^confront^face^salute
every,
kind,sort^form^variety^genial^tolerant
of,
dogma,tenet
